client_account_id,client_account_name,is_cemo_base,cemo_base_segment,client_workstream,is_claims_present,n_outreach_members,n_addressable_paid,n_addressable_recommended,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,pct_outreach_on_distinct_ever,pct_outreach_on_avg_monthly_br,pct_outreach_on_eop_dec,pct_addressable_paid_on_distinct_ever,pct_addressable_paid_on_avg_monthly_br,pct_addressable_paid_on_eop_dec,pct_addressable_recommended_on_distinct_ever,pct_addressable_recommended_on_avg_monthly_br,pct_addressable_recommended_on_eop_dec,book_benchmark_pct_portfolio,book_benchmark_pct_median_client
SALESCLOUD_ACCOUNT_ID:0014000001bkMWJAA2,"Leidos Holdings, Inc,",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001gltgQAAQ,"Liberty Healthcare Management, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001eAZgUAAW,"Lifetouch, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000vp8OQAAY,"Lowe's Companies, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001nbiygAAA,"Lucas Tree Expert Company, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W00002RngA3QAJ,Masterclass,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,401,333.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000wF2hbAAC,McKinsey,True,CEMO_BASE,WITHOUT_CLAIMS,False,25,0,,35175,29130.0,28290.0,0.0007,0.0009,0.0009,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001kNlNCAA0,Meredith Corporation,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001faMVSAA2,Merz Pharmaceuticals LLC,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W00001rzwpxQAA,Mo-Kan Sheet Metal Workers Welfare Fund,True,CEMO_BASE,WITHOUT_CLAIMS,False,3,0,,9998,9173.0,9170.0,0.0003,0.0003,0.0003,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001dQkZ8AAK,NCH Corporation,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0015d00004CiYOoAAN,Nimble Health,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,88000.0,88000.0,,0.0,0.0,,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001gAFTIAA4,Ohio Contractors' Association Insurance Fund,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W00001u5xqnQAA,One Digital (Employer),True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001fY2dRAAS,"Pelican Products, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001aive6AAA,Petco,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
