client_account_id,client_account_name,aggregation_id,aggregation_name,has_cemo,has_nav,is_cemo_base,is_claims_present,client_workstream,cemo_base_segment,client_benchmark_segment,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,n_outreach_members,n_complex_patients,n_msk_neuro,n_high_cost,n_addressable_risk_and_claims_history,pct_eligible_on_outreach_list,pct_outreach_on_avg_eligible,pct_outreach_on_eop_eligible,pct_addressable_risk_and_claims,pct_addressable_on_avg_eligible,pct_addressable_on_eop_eligible,book_benchmark_pct_portfolio,book_benchmark_pct_median_client,n_addressable_recommended,pct_addressable_recommended
SALESCLOUD_ACCOUNT_ID:0014000001kNlBmAAK,Crown Castle,SALESCLOUD_ACCOUNT_ID:0014000001kNlBmAAK,Crown Castle,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,10640,9807.0,9693.0,2985,474,2245,1504,2939,0.2805,0.3044,0.308,0.2762,0.2997,0.3032,0.20448621785288032,0.2204,2939.0,0.2997
SALESCLOUD_ACCOUNT_ID:0015d00003OjlzxAAB,Cummins Inc.,SALESCLOUD_ACCOUNT_ID:0015d00003OjlzxAAB,Cummins Inc.,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,66689,0.0,0.0,19,3,17,6,18,0.0003,,,0.0003,,,0.20448621785288032,0.2204,18.0,
SALESCLOUD_ACCOUNT_ID:0015d00003MO7r4AAD,Electrical Workers Insurance Fund-IBEW 58,SALESCLOUD_ACCOUNT_ID:0015d00003MO7r4AAD,Electrical Workers Insurance Fund-IBEW 58,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,13414,12701.0,12833.0,1,0,1,0,0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.20448621785288032,0.2204,0.0,0.0
SALESCLOUD_ACCOUNT_ID:0014000000vp8MlAAI,Google,SALESCLOUD_ACCOUNT_ID:0014000000vp8MlAAI,Google,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,268693,242828.0,242882.0,76500,5919,55482,41241,76014,0.2847,0.315,0.315,0.2829,0.313,0.313,0.20448621785288032,0.2204,76014.0,0.313
SALESCLOUD_ACCOUNT_ID:0014000001lYW6bAAG,HealthTrust NH,SALESCLOUD_ACCOUNT_ID:0014000001lYW6bAAG,HealthTrust NH,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,50526,44319.0,42901.0,6226,29,6209,32,6226,0.1232,0.1405,0.1451,0.1232,0.1405,0.1451,0.20448621785288032,0.2204,6226.0,0.1405
SALESCLOUD_ACCOUNT_ID:0011W00002TPtr7QAD,IMEG Consulting Corp,SALESCLOUD_ACCOUNT_ID:0011W00002TPtr7QAD,IMEG Consulting Corp,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,4625,3953.0,4015.0,914,20,805,268,907,0.1976,0.2312,0.2276,0.1961,0.2294,0.2259,0.20448621785288032,0.2204,907.0,0.2294
SALESCLOUD_ACCOUNT_ID:00140000012hRLJAA2,JP Morgan Chase,SALESCLOUD_ACCOUNT_ID:00140000012hRLJAA2,JP Morgan Chase,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,365684,329205.0,325805.0,11682,1828,9373,5346,11578,0.0319,0.0355,0.0359,0.0317,0.0352,0.0355,0.20448621785288032,0.2204,11578.0,0.0352
SALESCLOUD_ACCOUNT_ID:00140000016DhdFAAS,"Kohlberg, Kravis Roberts & Co. L.P.",SALESCLOUD_ACCOUNT_ID:00140000016DhdFAAS,"Kohlberg, Kravis Roberts & Co. L.P.",True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,3967,3374.0,3423.0,895,45,528,581,883,0.2256,0.2653,0.2615,0.2226,0.2617,0.258,0.20448621785288032,0.2204,883.0,0.2617
SALESCLOUD_ACCOUNT_ID:00140000013pZGcAAM,Lennox,SALESCLOUD_ACCOUNT_ID:00140000013pZGcAAM,Lennox,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,13714,11432.0,10950.0,3108,192,2917,585,3056,0.2266,0.2719,0.2838,0.2228,0.2673,0.2791,0.20448621785288032,0.2204,3056.0,0.2673
SALESCLOUD_ACCOUNT_ID:0014000000wCknzAAC,Liberty Mutual,SALESCLOUD_ACCOUNT_ID:0014000000wCknzAAC,Liberty Mutual,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,88455,80343.0,79440.0,13564,492,11345,4595,13311,0.1533,0.1688,0.1707,0.1505,0.1657,0.1676,0.20448621785288032,0.2204,13311.0,0.1657
SALESCLOUD_ACCOUNT_ID:0014000001ZnBemAAF,Lockton (Employer),SALESCLOUD_ACCOUNT_ID:0014000001ZnBemAAF,Lockton (Employer),True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,15208,13218.0,13395.0,3023,59,2647,828,2957,0.1988,0.2287,0.2257,0.1944,0.2237,0.2208,0.20448621785288032,0.2204,2957.0,0.2237
SALESCLOUD_ACCOUNT_ID:0015d000040AsBDAA0,Lockton Insurance - Michigan,SALESCLOUD_ACCOUNT_ID:0015d000040AsBDAA0,Lockton Insurance - Michigan,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,7515,6567.0,6201.0,907,12,878,98,902,0.1207,0.1381,0.1463,0.12,0.1374,0.1455,0.20448621785288032,0.2204,902.0,0.1374
SALESCLOUD_ACCOUNT_ID:0014000001SwUjvAAF,"McCain Foods USA, Inc.",SALESCLOUD_ACCOUNT_ID:0014000001SwUjvAAF,"McCain Foods USA, Inc.",True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,6592,5694.0,5416.0,1370,43,1170,500,1354,0.2078,0.2406,0.253,0.2054,0.2378,0.25,0.20448621785288032,0.2204,1354.0,0.2378
SALESCLOUD_ACCOUNT_ID:0014000000vp8OIAAY,McDonald's Corporation,SALESCLOUD_ACCOUNT_ID:0014000000vp8OIAAY,McDonald's Corporation,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,91279,60609.0,58514.0,4427,444,3655,1767,4321,0.0485,0.073,0.0757,0.0473,0.0713,0.0738,0.20448621785288032,0.2204,4321.0,0.0713
SALESCLOUD_ACCOUNT_ID:0014000001lK5a8AAC,NFP (Employer),SALESCLOUD_ACCOUNT_ID:0014000001lK5a8AAC,NFP (Employer),True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,10774,9555.0,8751.0,1818,73,1553,583,1691,0.1687,0.1903,0.2077,0.157,0.177,0.1932,0.20448621785288032,0.2204,1691.0,0.177
SALESCLOUD_ACCOUNT_ID:0014000000vp8OjAAI,News Corporation,SALESCLOUD_ACCOUNT_ID:0014000000vp8OjAAI,News Corporation,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,14874,13104.0,12876.0,3820,173,3019,1737,3803,0.2568,0.2915,0.2967,0.2557,0.2902,0.2954,0.20448621785288032,0.2204,3803.0,0.2902
SALESCLOUD_ACCOUNT_ID:0014000001ZOkBJAA1,"Novartis Services, Inc.",SALESCLOUD_ACCOUNT_ID:0014000001ZOkBJAA1,"Novartis Services, Inc.",True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,33948,29751.0,29016.0,12,6,2,5,6,0.0004,0.0004,0.0004,0.0002,0.0002,0.0002,0.20448621785288032,0.2204,6.0,0.0002
SALESCLOUD_ACCOUNT_ID:0014000001ZQzCvAAL,Phillips 66,SALESCLOUD_ACCOUNT_ID:0014000001ZQzCvAAL,Phillips 66,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,39999,36622.0,36276.0,9477,901,7868,3821,9333,0.2369,0.2588,0.2612,0.2333,0.2548,0.2573,0.20448621785288032,0.2204,9333.0,0.2548
